id,nombre,apellido,edad,Genero,promedio_estadistica,promedio_matematica,promedio_programacion,promedio_bigdata,promedio_ofimatica,faltas_estadistica,faltas_matematica,faltas_programacion,faltas_bigdata,faltas_ofimatica,estilo_aprendizaje,metodos_estudio,horas_diarias_estudio,participacion_clases,acceso_recursos_tecnologicos,acceso_internet,motivacion_carrera,objetivos_academicos,estres,satisfaccion_ensenanza,actitud_hacia_tecnologia
70,Ryun,Browne,22,Male,4.32,9.1,3.16,4.89,0.39,0.25,0.44,0.21,0.27,0.47,auditivo,mapas mentales,3,true,false,true,true,false,false,true,false
71,Corenda,Ricioppo,31,Female,5.21,2.04,2.03,9.38,8.75,0.6,0.8,0.96,0.36,0.1,Multimodal,uso de tecnología,0,true,false,true,false,true,false,true,false
72,Mitch,Orrick,27,Male,3.17,0.93,3.47,4.09,6.65,0.4,0.23,0.0,0.9,0.86,otro,otro,3,true,false,false,false,false,false,false,true
73,Gayle,Mance,19,Female,6.75,4.65,7.0,6.19,6.52,1.0,0.43,0.58,0.37,0.86,otro,resúmenes,6,false,false,true,false,false,false,false,true
74,Salvidor,Sundin,33,Male,4.2,3.29,5.46,0.15,2.05,0.56,0.19,0.61,0.42,0.97,auditivo,enseñanza a otros,5,false,false,true,true,true,true,true,false
75,Rem,Kerry,35,Male,2.05,2.17,6.04,4.77,7.44,0.29,0.19,0.34,0.04,0.67,auditivo,mapas mentales,3,false,true,true,false,true,false,true,true
76,Neely,Milazzo,35,Female,4.44,3.96,6.84,8.76,0.5,0.34,0.75,0.34,0.58,1.0,Lectura/Escritura,grupos de estudio,5,true,true,true,true,false,true,true,true
77,Donny,Mintram,33,Female,0.44,8.17,1.93,3.8,2.21,0.69,0.95,0.65,0.87,0.69,Multimodal,grupos de estudio,8,true,false,true,false,false,false,false,false
78,Galven,Doige,39,Male,9.39,9.06,5.67,3.43,9.18,0.67,0.46,0.72,0.25,0.12,otro,mapas mentales,3,true,true,true,false,true,true,true,false
79,Carla,Karpmann,29,Female,6.33,1.8,6.0,0.6,7.0,0.78,0.16,0.49,0.75,0.2,kinestésico,enseñanza a otros,0,true,true,true,true,false,false,false,false
80,Joachim,Bollam,29,Male,5.73,7.92,3.64,2.17,8.29,0.62,0.71,0.45,0.29,0.33,visual,lectura activa,1,false,false,false,true,true,true,false,false
81,Waldo,Snoxill,24,Male,9.92,4.39,3.03,9.25,6.02,0.52,0.43,1.0,0.53,0.96,kinestésico,técnica Pomodoro,8,true,true,false,false,false,true,true,true
82,Augie,Gollin,19,Male,3.92,8.42,3.86,2.53,3.17,0.59,0.21,0.72,0.41,0.25,kinestésico,lectura activa,5,true,false,true,true,false,true,false,false
83,Dave,Crabtree,31,Male,2.33,3.41,4.8,0.39,9.58,0.17,0.98,0.29,0.48,0.62,visual,técnica Pomodoro,3,true,true,false,false,true,false,true,true
84,Keary,Matyashev,23,Male,2.29,3.68,4.9,8.66,3.28,0.35,0.95,0.35,0.18,0.95,Multimodal,otro,5,true,false,false,false,true,true,false,false
85,Titus,Paule,34,Male,7.07,3.86,7.71,2.45,2.89,0.49,0.72,0.15,0.97,0.92,kinestésico,otro,4,false,false,false,true,true,true,false,false
86,Elvira,Deer,38,Female,0.49,6.94,0.69,9.45,7.36,0.08,0.0,0.94,0.73,0.77,auditivo,flashcards,5,true,false,true,false,false,true,false,true
87,Adelind,Iddiens,19,Female,6.05,1.09,3.16,8.86,0.67,0.55,0.78,0.3,0.71,0.64,otro,uso de tecnología,8,false,false,false,true,false,true,false,false
88,Lodovico,Vinau,39,Male,5.04,0.29,5.0,4.8,9.99,0.7,0.17,0.51,0.66,0.9,kinestésico,enseñanza a otros,5,false,true,true,false,false,true,false,true
89,Daisey,Oliver-Paull,33,Female,5.82,7.28,1.58,5.47,3.51,0.03,0.91,0.44,0.96,0.2,visual,técnica Pomodoro,4,false,false,false,false,true,true,true,false
90,Adam,Glidder,23,Male,0.43,1.0,1.53,7.1,2.53,0.72,0.95,0.27,0.59,0.98,kinestésico,otro,1,true,false,true,false,true,false,true,false
91,Sydel,Fuke,39,Female,3.37,3.57,2.56,7.82,0.0,0.73,0.06,0.98,0.1,0.47,otro,autoevaluación y pruebas prácticas,0,false,false,false,false,true,false,true,false
92,Ezra,Handforth,24,Male,8.82,4.76,2.22,8.39,7.51,0.04,0.11,0.95,0.88,0.58,Multimodal,autoevaluación y pruebas prácticas,5,false,false,false,false,true,true,true,false
93,Josephine,MacKaig,24,Female,3.42,8.48,8.27,4.23,1.07,0.27,0.17,0.84,0.3,0.81,Lectura/Escritura,lectura activa,2,true,true,false,true,true,false,false,false
94,Laurent,Blacksell,18,Male,4.05,8.92,7.23,9.04,1.25,0.55,0.71,0.76,0.12,0.16,auditivo,enseñanza a otros,3,true,false,false,false,false,true,true,false
95,Malcolm,Jarry,30,Male,6.62,6.66,2.13,4.4,0.77,0.78,0.54,0.69,0.82,0.22,kinestésico,técnica Pomodoro,5,true,true,false,true,true,true,true,true
96,Freddie,Nealon,25,Female,5.91,6.12,2.94,4.72,9.33,0.75,0.22,0.84,0.74,0.77,auditivo,otro,8,false,true,false,false,true,true,true,false
97,Leeland,Chalfain,24,Male,7.61,1.88,8.39,5.91,0.73,0.63,0.9,0.43,0.04,0.06,visual,grupos de estudio,3,true,true,true,true,true,false,true,false
98,Darbie,Catt,34,Female,4.76,2.28,5.04,7.85,5.31,0.95,0.0,0.41,0.49,0.85,otro,Toma de apuntes,8,true,true,false,false,false,false,true,false
99,Irving,Bessett,39,Male,4.25,2.71,6.63,6.41,0.84,0.42,0.66,0.1,0.06,0.98,visual,enseñanza a otros,2,false,false,false,false,false,true,true,true
100,Rafa,Donhardt,25,Female,8.26,9.76,5.91,5.62,2.57,0.08,0.28,0.79,0.79,0.11,auditivo,flashcards,6,true,false,false,true,true,false,true,false
101,Pietro,Sheed,39,Male,2.92,9.08,9.34,7.42,4.3,0.93,0.2,0.27,0.86,0.53,Multimodal,enseñanza a otros,3,false,true,true,true,true,false,false,true
102,Ian,Waggitt,28,Male,5.58,8.1,2.0,5.33,4.9,0.69,0.4,0.19,0.26,0.66,kinestésico,técnica Pomodoro,5,false,false,false,false,true,true,false,true
103,Stephani,Worham,24,Female,8.83,8.67,7.81,5.61,5.52,0.48,0.86,0.01,0.77,0.12,otro,Toma de apuntes,5,true,false,false,true,true,false,false,false
104,Francyne,Kemmish,37,Female,7.61,7.95,1.14,4.23,8.94,0.95,0.34,0.91,0.67,0.02,Lectura/Escritura,lectura activa,8,true,true,true,true,false,true,true,false
105,Candide,Darinton,31,Female,7.4,0.58,5.64,1.33,1.64,0.04,0.27,0.52,0.64,0.2,visual,autoevaluación y pruebas prácticas,2,false,false,true,true,true,true,true,true
106,Jerry,Raoult,22,Female,8.88,2.39,2.86,6.93,0.51,0.72,0.59,0.23,0.49,0.07,Multimodal,flashcards,5,false,true,true,false,false,true,false,false
107,Allissa,Hadny,35,Female,1.57,0.31,0.43,3.41,4.86,0.81,0.42,0.64,0.55,0.28,auditivo,resúmenes,8,true,false,false,true,true,true,false,false
108,Vickie,Sulland,35,Female,7.08,9.15,9.25,1.16,1.11,0.91,0.39,0.81,0.87,0.98,visual,grupos de estudio,0,false,false,true,true,false,false,false,true
109,Liam,Schutt,38,Male,2.41,8.08,5.82,4.9,2.97,0.92,0.54,0.8,0.91,0.74,Lectura/Escritura,técnica Pomodoro,5,true,true,true,true,false,true,true,false
110,Ingram,Ors,34,Male,3.52,3.82,0.91,1.51,2.58,0.72,0.39,0.69,0.97,0.34,auditivo,Toma de apuntes,0,true,false,true,false,false,true,false,false
111,Eugen,Rickford,24,Male,2.39,5.77,3.16,0.17,3.24,0.78,0.47,0.86,0.82,0.08,kinestésico,otro,6,false,true,false,true,false,true,false,true
112,Allene,Primo,40,Female,7.15,8.31,1.97,5.53,3.4,0.62,0.56,0.23,0.61,0.8,otro,grupos de estudio,0,false,true,true,false,false,true,true,true
113,Matt,Farrear,19,Male,3.38,8.61,9.65,6.48,6.46,0.33,0.58,0.02,0.21,0.07,auditivo,técnica Pomodoro,4,false,false,true,true,true,true,false,true
114,Parnell,Medwell,36,Male,1.28,0.74,9.73,0.97,4.82,0.51,0.79,0.23,0.31,0.65,Multimodal,uso de tecnología,0,true,false,false,true,true,false,true,true
115,Gabriellia,MacLaren,25,Female,6.21,2.91,4.63,4.05,6.68,0.12,0.34,0.48,1.0,0.86,Multimodal,autoevaluación y pruebas prácticas,2,true,true,true,true,true,false,true,true
116,Adelaide,Floyd,31,Female,5.72,9.71,5.5,1.3,7.62,0.63,0.94,0.44,0.3,0.03,auditivo,uso de tecnología,7,true,true,false,true,true,true,false,false
117,Grata,Mertel,30,Female,9.7,3.57,6.06,0.63,0.28,0.17,0.07,0.78,0.6,0.98,Lectura/Escritura,lectura activa,8,false,true,true,true,true,false,false,true
118,Smitty,Danielis,29,Male,9.73,9.51,0.58,1.01,3.86,0.07,0.74,0.97,0.67,0.91,kinestésico,otro,4,true,false,true,false,true,false,true,true
119,Chas,Debrett,32,Male,9.58,3.49,4.02,3.79,5.84,0.17,0.7,0.35,0.84,0.41,Lectura/Escritura,autoevaluación y pruebas prácticas,2,false,false,false,false,true,true,true,true
120,Vaughan,Odeson,38,Male,9.16,3.0,0.07,1.14,4.67,0.97,0.17,0.53,0.83,0.23,visual,resúmenes,5,false,false,true,true,true,false,false,true
121,Bernard,Chasson,19,Male,8.71,4.9,8.07,3.13,8.25,0.9,0.32,0.8,0.98,0.6,kinestésico,Toma de apuntes,6,false,false,true,false,true,false,false,true
122,Terrill,Ferneley,28,Male,1.32,9.28,1.21,7.98,8.13,0.43,0.1,0.76,0.08,0.47,otro,grupos de estudio,6,true,true,false,false,false,false,false,false
123,Chrystal,Hammor,31,Female,9.86,2.38,2.94,5.08,1.28,0.73,0.47,0.91,0.46,0.86,otro,Toma de apuntes,5,true,true,false,false,true,true,true,true
124,Tandie,Charlotte,31,Female,7.84,1.81,5.65,1.96,1.49,0.85,0.79,0.75,0.9,0.28,kinestésico,Toma de apuntes,3,false,false,false,true,true,false,true,true
125,Thane,Berrane,40,Male,6.37,7.53,4.47,3.99,2.05,0.63,0.18,0.35,0.69,0.46,Multimodal,autoevaluación y pruebas prácticas,1,true,false,true,true,true,true,false,false
126,Audrey,Neeves,40,Female,5.49,7.2,6.49,0.81,1.87,0.78,0.84,0.71,0.52,0.91,Multimodal,lectura activa,2,true,true,false,false,false,false,false,false
127,Arney,Fechnie,32,Male,6.98,8.18,2.93,4.45,7.03,0.32,0.64,0.27,0.82,0.38,Lectura/Escritura,grupos de estudio,0,true,false,false,true,true,true,true,false
128,Vally,Bleasdale,39,Female,2.74,7.62,6.58,0.12,1.39,0.58,0.05,0.4,0.82,0.49,visual,lectura activa,2,false,false,false,false,false,true,true,true
129,Katey,Gilkison,21,Female,8.98,8.52,7.61,4.46,9.18,0.12,0.43,0.86,0.17,0.5,Lectura/Escritura,mapas mentales,0,true,false,true,false,false,false,true,true
130,Virgilio,Housam,32,Male,1.28,2.47,0.67,3.02,0.19,0.4,0.53,0.26,0.19,0.79,Multimodal,enseñanza a otros,3,true,true,true,false,true,false,true,false
131,Rickert,Saleway,27,Male,1.81,6.43,6.39,1.33,9.8,0.67,0.19,0.95,0.26,0.33,auditivo,otro,3,true,false,true,true,true,true,true,false
132,Perice,Thake,28,Male,6.62,7.36,0.92,1.02,6.4,0.63,0.93,0.31,0.18,0.99,auditivo,resúmenes,5,true,false,false,false,true,true,true,false
133,Zaccaria,Babinski,24,Male,5.27,8.37,0.56,4.34,8.18,0.35,0.64,0.11,0.45,0.22,auditivo,grupos de estudio,8,true,true,false,true,false,true,false,false
134,Carilyn,Lindegard,36,Female,2.95,4.95,9.14,7.24,4.95,0.76,0.34,0.6,0.46,0.56,kinestésico,enseñanza a otros,5,true,true,false,true,false,true,false,false
135,Idelle,Bunton,31,Female,7.34,9.22,3.25,3.42,7.52,0.03,0.79,0.1,0.45,0.3,kinestésico,técnica Pomodoro,3,true,false,true,false,true,false,false,true
136,Alric,Bridgman,29,Male,9.76,9.94,9.26,3.85,1.89,0.7,0.19,0.16,0.31,0.03,otro,uso de tecnología,5,false,true,false,true,true,true,false,true
137,Niel,Antonowicz,23,Male,8.62,6.89,1.46,2.36,0.42,0.68,0.79,0.86,0.74,0.71,kinestésico,lectura activa,3,false,true,true,false,false,true,false,true
138,Ardis,Station,20,Female,3.96,0.91,8.51,2.47,2.06,0.7,0.0,0.02,0.74,0.65,visual,uso de tecnología,2,true,false,true,false,true,true,true,true
139,Ignazio,Valder,23,Male,5.99,2.83,4.11,8.41,2.22,0.34,0.67,0.1,0.11,0.25,Multimodal,grupos de estudio,4,true,true,true,true,false,true,false,true
140,Elwood,Roper,37,Male,2.23,2.36,6.74,5.82,2.23,0.82,0.64,0.47,0.27,0.6,Lectura/Escritura,mapas mentales,8,true,false,false,true,true,true,true,true
141,Jana,Veel,23,Female,3.88,1.06,9.71,4.96,7.77,0.68,0.61,0.5,0.04,0.66,visual,técnica Pomodoro,5,true,false,false,true,false,true,true,true
142,Kaitlynn,La Vigne,27,Female,6.39,1.16,4.42,5.87,9.16,0.66,0.17,0.75,0.32,0.47,otro,mapas mentales,1,true,true,true,false,false,true,false,false
143,Louis,Janovsky,38,Male,4.97,6.68,4.47,0.35,9.14,0.83,0.14,0.22,0.57,0.56,kinestésico,otro,5,true,false,false,false,true,true,true,false
144,Alastair,Domotor,24,Male,2.07,6.25,8.67,4.72,1.55,0.94,0.76,0.81,0.37,0.73,visual,enseñanza a otros,8,true,true,false,false,true,true,true,false
145,Gus,Phateplace,32,Male,3.68,8.84,4.86,6.48,4.36,0.9,0.6,0.08,0.33,0.43,Multimodal,uso de tecnología,7,true,false,true,true,false,false,true,true
146,Nata,Grahamslaw,38,Female,4.97,4.35,1.77,2.07,1.87,0.73,0.09,0.49,0.49,0.55,otro,flashcards,0,false,false,false,false,false,true,false,true
147,Stanton,Slarke,35,Male,1.51,6.53,7.55,2.43,9.87,0.05,0.32,0.25,0.85,0.8,kinestésico,resúmenes,3,false,true,true,false,false,false,false,false
148,Hedvige,Fessions,30,Female,2.23,5.83,6.75,7.08,6.29,0.38,0.73,0.73,0.11,0.77,visual,enseñanza a otros,2,false,true,false,false,true,true,true,true
149,Jarib,Skottle,20,Male,6.86,2.66,0.03,2.33,6.28,0.62,0.75,0.39,0.14,0.94,visual,técnica Pomodoro,1,true,true,false,false,false,false,true,true
150,Bobbye,Junkison,29,Female,4.89,4.74,6.73,3.0,6.32,0.48,0.4,0.95,0.1,0.59,Lectura/Escritura,otro,5,true,false,false,true,false,false,true,true
151,Edie,Keave,40,Female,8.08,0.34,0.23,9.89,9.75,0.68,0.78,0.19,0.18,0.21,otro,mapas mentales,7,true,false,true,false,true,true,true,false
152,Robbyn,MacDwyer,32,Female,0.41,1.35,8.73,4.35,3.48,0.39,0.25,0.23,0.19,0.14,otro,uso de tecnología,7,true,false,false,false,false,false,true,false
